id,recipe_number,recipe_name,short_name,station,menu_portion_size,menu_portion_weight_g,gtin,sell_price,kcal_per_100g,color,kcal,fat_g,carbohydrates_g,total_sugars_g,protein_g,nutrition_summary,embedding_text
food_8289_2_886721091400,8289.2,EUR: Roasted Vegetables,Roasted Vegetables,Main Dish- Sides,1 cup,217.632,886721091400,1.98,62.8363476,GREEN,136.752,9.582,12.52,6.986,2.221,"Kcal/100g: 62.8363476, Kcal: 136.752, Fat (g): 9.582, Carbohydrates (g): 12.52, Sugars (g): 6.986, Protein (g): 2.221","Recipe EUR: Roasted Vegetables. Short name Roasted Vegetables. Station Main Dish- Sides. Portion 1 cup with weight 217.632 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 62.8363476, Kcal: 136.752, Fat (g): 9.582, Carbohydrates (g): 12.52, Sugars (g): 6.986, Protein (g): 2.221."
food_9070_7_886721391371,9070.7,Canteen BMW: Fresh Italian Blend Vegetables,Fresh Italian Vegetables,Main Dish- Sides,1 cup,236.215,886721391371,1.98,63.57640285,GREEN,150.177,11.626,10.433,5.465,4.08,"Kcal/100g: 63.57640285, Kcal: 150.177, Fat (g): 11.626, Carbohydrates (g): 10.433, Sugars (g): 5.465, Protein (g): 4.08","Recipe Canteen BMW: Fresh Italian Blend Vegetables. Short name Fresh Italian Vegetables. Station Main Dish- Sides. Portion 1 cup with weight 236.215 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 63.57640285, Kcal: 150.177, Fat (g): 11.626, Carbohydrates (g): 10.433, Sugars (g): 5.465, Protein (g): 4.08."
food_19027_886721097013,19027,HC Sauteed Fresh Vegetable Medley,Sauteed Vegetable Medley,Main Dish- Sides,1 cup,134.93,886721097013,1.98,65.08115319,GREEN,87.814,6.865,6.474,3.927,1.397,"Kcal/100g: 65.08115319, Kcal: 87.814, Fat (g): 6.865, Carbohydrates (g): 6.474, Sugars (g): 3.927, Protein (g): 1.397","Recipe HC Sauteed Fresh Vegetable Medley. Short name Sauteed Vegetable Medley. Station Main Dish- Sides. Portion 1 cup with weight 134.93 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 65.08115319, Kcal: 87.814, Fat (g): 6.865, Carbohydrates (g): 6.474, Sugars (g): 3.927, Protein (g): 1.397."
food_18994_4_194306897836,18994.4,EUR: Sweet Potato Hash with Peppers,sweet potato hash,Main Dish- Sides,8 oz portion,186.413,194306897836,1.98,72.33025594,GREEN,134.833,1.444,28.8,9.834,3.061,"Kcal/100g: 72.33025594, Kcal: 134.833, Fat (g): 1.444, Carbohydrates (g): 28.8, Sugars (g): 9.834, Protein (g): 3.061","Recipe EUR: Sweet Potato Hash with Peppers. Short name sweet potato hash. Station Main Dish- Sides. Portion 8 oz portion with weight 186.413 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 72.33025594, Kcal: 134.833, Fat (g): 1.444, Carbohydrates (g): 28.8, Sugars (g): 9.834, Protein (g): 3.061."
food_179748_886721414605,179748,Canteen BMW: German Red Cabbage,German Red Cabbage,Main Dish- Sides,8 ounce,243.852,886721414605,1.98,74.74492725,GREEN,182.267,5.157,33.712,25.678,3.212,"Kcal/100g: 74.74492725, Kcal: 182.267, Fat (g): 5.157, Carbohydrates (g): 33.712, Sugars (g): 25.678, Protein (g): 3.212","Recipe Canteen BMW: German Red Cabbage. Short name German Red Cabbage. Station Main Dish- Sides. Portion 8 ounce with weight 243.852 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 74.74492725, Kcal: 182.267, Fat (g): 5.157, Carbohydrates (g): 33.712, Sugars (g): 25.678, Protein (g): 3.212."
food_1825_886721012856,1825,HC Mexican Corn,Mexican Corn,Main Dish- Sides,1 cup,207.202,886721012856,1.98,75.39068156,GREEN,156.211,1.374,36.999,6.499,4.97,"Kcal/100g: 75.39068156, Kcal: 156.211, Fat (g): 1.374, Carbohydrates (g): 36.999, Sugars (g): 6.499, Protein (g): 4.97","Recipe HC Mexican Corn. Short name Mexican Corn. Station Main Dish- Sides. Portion 1 cup with weight 207.202 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 75.39068156, Kcal: 156.211, Fat (g): 1.374, Carbohydrates (g): 36.999, Sugars (g): 6.499, Protein (g): 4.97."
food_50725_1_886721343523,50725.1,Carrots Honey Roasted,Honey Roasted Carrots,Main Dish- Sides,1 cup,130.483,886721343523,1.98,84.09447974,GREEN,109.729,2.546,22.559,16.975,1.106,"Kcal/100g: 84.09447974, Kcal: 109.729, Fat (g): 2.546, Carbohydrates (g): 22.559, Sugars (g): 16.975, Protein (g): 1.106","Recipe Carrots Honey Roasted. Short name Honey Roasted Carrots. Station Main Dish- Sides. Portion 1 cup with weight 130.483 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 84.09447974, Kcal: 109.729, Fat (g): 2.546, Carbohydrates (g): 22.559, Sugars (g): 16.975, Protein (g): 1.106."
food_42772_886721204374,42772,Garlic Roasted Broccoli and Cauliflower,"Garlic Roasted Broccoli, Cauliflower",Main Dish- Sides,1 cup,102.928,886721204374,1.98,87.64281828,GREEN,90.209,7.127,5.954,1.72,2.33,"Kcal/100g: 87.64281828, Kcal: 90.209, Fat (g): 7.127, Carbohydrates (g): 5.954, Sugars (g): 1.72, Protein (g): 2.33","Recipe Garlic Roasted Broccoli and Cauliflower. Short name Garlic Roasted Broccoli, Cauliflower. Station Main Dish- Sides. Portion 1 cup with weight 102.928 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 87.64281828, Kcal: 90.209, Fat (g): 7.127, Carbohydrates (g): 5.954, Sugars (g): 1.72, Protein (g): 2.33."
food_58_886721001140,58,HC Hot German Potato Salad,Hot German Potato Salad,Main Dish- Sides,1 cup,241.323,886721001140,1.98,89.39263974,GREEN,215.725,2.814,41.524,6.341,5.768,"Kcal/100g: 89.39263974, Kcal: 215.725, Fat (g): 2.814, Carbohydrates (g): 41.524, Sugars (g): 6.341, Protein (g): 5.768","Recipe HC Hot German Potato Salad. Short name Hot German Potato Salad. Station Main Dish- Sides. Portion 1 cup with weight 241.323 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 89.39263974, Kcal: 215.725, Fat (g): 2.814, Carbohydrates (g): 41.524, Sugars (g): 6.341, Protein (g): 5.768."
food_63250_1_886721562696,63250.1,EUR: Roasted Potato Wedges,potato wedges,Main Dish- Sides,8 ounce,220.65,886721562696,1.98,90.01359619,GREEN,198.615,0.636,44.385,3.295,5.41,"Kcal/100g: 90.01359619, Kcal: 198.615, Fat (g): 0.636, Carbohydrates (g): 44.385, Sugars (g): 3.295, Protein (g): 5.41","Recipe EUR: Roasted Potato Wedges. Short name potato wedges. Station Main Dish- Sides. Portion 8 ounce with weight 220.65 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 90.01359619, Kcal: 198.615, Fat (g): 0.636, Carbohydrates (g): 44.385, Sugars (g): 3.295, Protein (g): 5.41."
food_745_886721010746,745,HC Corn on the Cob,Corn on the Cob,Main Dish- Sides,1 each,50.242,886721010746,1.98,93.99904462,GREEN,47.227,0.372,11.219,1.804,1.563,"Kcal/100g: 93.99904462, Kcal: 47.227, Fat (g): 0.372, Carbohydrates (g): 11.219, Sugars (g): 1.804, Protein (g): 1.563","Recipe HC Corn on the Cob. Short name Corn on the Cob. Station Main Dish- Sides. Portion 1 each with weight 50.242 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 93.99904462, Kcal: 47.227, Fat (g): 0.372, Carbohydrates (g): 11.219, Sugars (g): 1.804, Protein (g): 1.563."
food_978_886721006770,978,HC Boiled/Steamed Red Potatoes,Red Potatoes,Main Dish- Sides,1 cup,230.114,886721006770,1.98,94.58703078,GREEN,217.658,2.642,44.431,3.245,5.24,"Kcal/100g: 94.58703078, Kcal: 217.658, Fat (g): 2.642, Carbohydrates (g): 44.431, Sugars (g): 3.245, Protein (g): 5.24","Recipe HC Boiled/Steamed Red Potatoes. Short name Red Potatoes. Station Main Dish- Sides. Portion 1 cup with weight 230.114 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 94.58703078, Kcal: 217.658, Fat (g): 2.642, Carbohydrates (g): 44.431, Sugars (g): 3.245, Protein (g): 5.24."
