Recipe Number,Recipe Name,Short Name,Station,Menu Portion Size,Menu Portion Weight(g),GTIN,Sell Price,Kcal/100g,COLOR,KCAL,FAT (g),CHO (g),Total Sugars (g),PRO (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'19027,HC Sauteed Fresh Vegetable Medley,Sauteed Vegetable Medley,Main Dish- Sides,1 cup,134.93,886721097013,1.98,65.08115319,GREEN,87.814,6.865,6.474,3.927,1.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'18994.4,EUR: Sweet Potato Hash with Peppers,sweet potato hash,Main Dish- Sides,8 oz portion,186.413,194306897836,$1.98 ,72.33025594,GREEN,134.833,1.444,28.8,9.834,3.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'179748,Canteen BMW: German Red Cabbage,German Red Cabbage,Main Dish- Sides,8 ounce,243.852,886721414605,$1.98 ,74.74492725,GREEN,182.267,5.157,33.712,25.678+,3.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1825,HC Mexican Corn,Mexican Corn,Main Dish- Sides,1 cup,207.202,886721012856,$1.98 ,75.39068156,GREEN,156.211,1.374,36.999,6.499,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'50725.1,Carrots Honey Roasted,Honey Roasted Carrots,Main Dish- Sides,1 cup,130.483,886721343523,$1.98 ,84.09447974,GREEN,109.729,2.546,22.559,16.975,1.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'42772,Garlic Roasted Broccoli and Cauliflower,"Garlic Roasted Broccoli, Cauliflower",Main Dish- Sides,1 cup,102.928,886721204374,$1.98 ,87.64281828,GREEN,90.209,7.127,5.954,1.72,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'58,HC Hot German Potato Salad,Hot German Potato Salad,Main Dish- Sides,1 cup,241.323,886721001140,$1.98 ,89.39263974,GREEN,215.725,2.814,41.524,6.341,5.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'63250.1,EUR: Roasted Potato Wedges,potato wedges,Main Dish- Sides,8 ounce,220.65,886721562696,$1.98 ,90.01359619,GREEN,198.615,0.636,44.385,3.295+,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'745,HC Corn on the Cob,Corn on the Cob,Main Dish- Sides,1 each,50.242,886721010746,$1.98 ,93.99904462,GREEN,47.227,0.372,11.219,1.804,1.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'978,HC Boiled/Steamed Red Potatoes,Red Potatoes,Main Dish- Sides,1 cup,230.114,886721006770,$1.98 ,94.58703078,GREEN,217.658,2.642,44.431,3.245,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
